series_order,series_id,series_label,source_paper,source_year,source_doi,source_dataset,source_dataset_doi,source_dataset_url,source_experiment,data_origin,perturbation_size_deg,adaptation_extent_deg,sem_deg,n_subjects,extent_window,panel_target,notes
3,morehead_2017,"Morehead, 2017","Morehead et al., 2017",2017,10.1162/jocn_a_01108,Fig1B.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Task-irrelevant clamped feedback,published_summary_point_from_elife_figshare,15.0,14.5822411533421,,,as provided in Fig1B.csv,eLife 94608 Figure 1B scatter points,Legacy summary point included by Zhang et al. in Fig1B.csv.
3,morehead_2017,"Morehead, 2017","Morehead et al., 2017",2017,10.1162/jocn_a_01108,Fig1B.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Task-irrelevant clamped feedback,published_summary_point_from_elife_figshare,30.0,9.76081258191349,,,as provided in Fig1B.csv,eLife 94608 Figure 1B scatter points,Legacy summary point included by Zhang et al. in Fig1B.csv.
3,morehead_2017,"Morehead, 2017","Morehead et al., 2017",2017,10.1162/jocn_a_01108,Fig1B.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Task-irrelevant clamped feedback,published_summary_point_from_elife_figshare,45.0,15.3342070773263,,,as provided in Fig1B.csv,eLife 94608 Figure 1B scatter points,Legacy summary point included by Zhang et al. in Fig1B.csv.
3,morehead_2017,"Morehead, 2017","Morehead et al., 2017",2017,10.1162/jocn_a_01108,Fig1B.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Task-irrelevant clamped feedback,published_summary_point_from_elife_figshare,60.0,16.218872870249,,,as provided in Fig1B.csv,eLife 94608 Figure 1B scatter points,Legacy summary point included by Zhang et al. in Fig1B.csv.
3,morehead_2017,"Morehead, 2017","Morehead et al., 2017",2017,10.1162/jocn_a_01108,Fig1B.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Task-irrelevant clamped feedback,published_summary_point_from_elife_figshare,95.0,8.83191349934469,,,as provided in Fig1B.csv,eLife 94608 Figure 1B scatter points,Legacy summary point included by Zhang et al. in Fig1B.csv.
4,zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Exp2.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,derived_from_raw_trial_data,2.0,10.163836885398469,1.202688867630427,12,cycles 100-110 inclusive,eLife 94608 Figure 1B scatter points,Computed from subject means over adaptation cycles 100-110.
4,zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Exp2.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,derived_from_raw_trial_data,4.0,14.750122393639167,1.1159188443819272,12,cycles 100-110 inclusive,eLife 94608 Figure 1B scatter points,Computed from subject means over adaptation cycles 100-110.
4,zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Exp2.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,derived_from_raw_trial_data,8.0,18.56883915629396,1.1286785613279797,12,cycles 100-110 inclusive,eLife 94608 Figure 1B scatter points,Computed from subject means over adaptation cycles 100-110.
4,zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Exp2.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,derived_from_raw_trial_data,16.0,18.422846253268734,2.2871486410835677,12,cycles 100-110 inclusive,eLife 94608 Figure 1B scatter points,Computed from subject means over adaptation cycles 100-110.
4,zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Exp2.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,derived_from_raw_trial_data,32.0,13.580655797797617,1.714325868117187,12,cycles 100-110 inclusive,eLife 94608 Figure 1B scatter points,Computed from subject means over adaptation cycles 100-110.
4,zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Exp2.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,derived_from_raw_trial_data,64.0,6.407601637630265,1.3762202845331337,12,cycles 100-110 inclusive,eLife 94608 Figure 1B scatter points,Computed from subject means over adaptation cycles 100-110.
4,zhang_2024_exp2,"Zhang et al., 2024 exp2","Zhang et al., 2024",2024,10.7554/eLife.94608.3,Exp2.csv,10.6084/m9.figshare.24503926.v2,https://doi.org/10.6084/m9.figshare.24503926.v2,Experiment 2,derived_from_raw_trial_data,95.0,5.690242810493838,1.1704830864870506,12,cycles 100-110 inclusive,eLife 94608 Figure 1B scatter points,Computed from subject means over adaptation cycles 100-110.
